Instance,Total Coverage Contribution,Total Doctor Target Contribution,Total Preference Contribution
department1_20Percent,1370,743.2573918456272,164.16216216216216
department1_20Percent,1265,772.4141105861913,213.65747702589817
department1_20Percent,1260,869.4207208588246,189.8479532163742
department1_20Percent,1350,833.7449540346819,213.65747702589817
department1_20Percent,1500,881.4623056519456,311.07183381338916
department1_40Percent,1355,683.753197704826,215.96825396825398
department1_40Percent,1615,610.3355055865193,255.37415672029053
department1_40Percent,1395,685.8626922489123,176.0
department1_40Percent,1475,624.9669950899099,226.00000000000006
department1_40Percent,1385,622.0101957731017,229.95121951219514
department1_60Percent,1460,627.7877871852946,222.17733990147775
department1_60Percent,1515,564.2900764996014,210.16216216216216
department1_60Percent,1430,514.4577597916638,269.76689976689966
department1_60Percent,1560,606.5672993443624,207.7777777777777
department1_60Percent,1530,485.4932362230011,230.39751552795033
department1_80Percent,1450,591.4331284810509,237.9693283976732
department1_80Percent,1650,475.2889131206132,202.01011537853637
department1_80Percent,1540,492.1333315887766,239.9078844652614
department1_80Percent,1595,478.95024468916074,205.21266721266713
department1_80Percent,1530,423.3440934597342,257.68288854003157
