Instance,Total Coverage Contribution,Total Doctor Target Contribution,Total Preference Contribution
department1_fixedAfternoon2Weeks,950,1016.118502456924,113.46801346801341
department1_fixedAfternoon2Weeks,1185,1006.8674017979412,96.0
department1_fixedAfternoon2Weeks,1200,985.9837890719364,92.0
department1_fixedAfternoon2Weeks,1140,1083.6607246771778,104.0
department1_fixedAfternoon2Weeks,1255,1014.2542575229426,97.46801346801341
department1_oneDayPerMonth,1320,949.5902565708357,97.46801346801341
department1_oneDayPerMonth,1200,1001.9651503084143,96.0
department1_oneDayPerMonth,1145,992.123938501965,100.0
department1_oneDayPerMonth,1130,1038.5115779596738,105.46801346801341
department1_oneDayPerMonth,1215,998.8133204698958,113.46801346801341
department1_oneDayPerWeek,1265,954.5507579145398,97.46801346801341
department1_oneDayPerWeek,1340,971.81547136809,105.46801346801341
department1_oneDayPerWeek,1285,962.0729738123752,97.92592592592591
department1_oneDayPerWeek,1140,968.7371866395251,105.46801346801341
department1_oneDayPerWeek,1305,936.1871667062668,117.92592592592591
department1_randomDay,1260,641.5850399364533,96.0
department1_randomDay,1310,643.6384085011276,109.46801346801341
department1_randomDay,1200,665.4514241944626,241.7309941520468
department1_randomDay,1380,652.0158172125662,160.26780626780615
department1_randomDay,1215,693.4268616929919,113.46801346801341
department1_twoDaysPerMonth,1285,852.3970761733235,152.96551724137944
department1_twoDaysPerMonth,1245,856.4608545299384,97.46801346801341
department1_twoDaysPerMonth,1140,897.9172026423728,100.0
department1_twoDaysPerMonth,1210,905.7786792772911,146.00000000000006
department1_twoDaysPerMonth,1225,838.2108343706518,110.84010840108407
department1_weeklyAfternoon,1110,973.9797171333058,88.0
department1_weeklyAfternoon,1140,984.1964667952047,104.0
department1_weeklyAfternoon,1115,947.1789771666437,105.46801346801341
department1_weeklyAfternoon,1240,960.2300351430074,97.46801346801341
department1_weeklyAfternoon,1115,948.1186946316257,104.0
